id,type,amount,touristId,zone,timestamp
1,TICKET,25.00,1,Arrival,2026-05-27T13:57:05.076829
2,TICKET,25.00,2,Arrival,2026-05-27T13:57:05.0924641
3,TICKET,25.00,3,Arrival,2026-05-27T13:57:05.0924641
4,TICKET,25.00,4,Arrival,2026-05-27T13:57:05.0924641
5,TICKET,25.00,5,Arrival,2026-05-27T13:57:05.0924641
6130794650448100,ENCLOSURE_ENTRY,10.00,1,Basic Enclosure,2026-05-27T13:57:05.0924641
6130794652400600,SOUVENIR,15.00,2,CentralHub,2026-05-27T13:57:05.0924641
6130794653133200,ENCLOSURE_ENTRY,75.00,2,VIP Enclosure,2026-05-27T13:57:05.0924641
6130794653725000,SOUVENIR,15.00,3,CentralHub,2026-05-27T13:57:05.0924641
6130794654234500,ENCLOSURE_ENTRY,10.00,3,Basic Enclosure,2026-05-27T13:57:05.0924641
6130794654852500,ENCLOSURE_ENTRY,75.00,4,VIP Enclosure,2026-05-27T13:57:05.0924641
6130794655437000,ENCLOSURE_ENTRY,30.00,5,Premium Enclosure,2026-05-27T13:57:05.0924641
6,TICKET,25.00,6,Arrival,2026-05-27T13:57:05.1326064
7,TICKET,25.00,7,Arrival,2026-05-27T13:57:05.133603
8,TICKET,25.00,8,Arrival,2026-05-27T13:57:05.1360574
9,TICKET,25.00,9,Arrival,2026-05-27T13:57:05.1360574
10,TICKET,25.00,10,Arrival,2026-05-27T13:57:05.1360574
6130794696815500,SOUVENIR,15.00,1,CentralHub,2026-05-27T13:57:05.1360574
6130794697803800,ENCLOSURE_ENTRY,10.00,1,Basic Enclosure,2026-05-27T13:57:05.1360574
6130794698630000,ENCLOSURE_ENTRY,75.00,2,VIP Enclosure,2026-05-27T13:57:05.1360574
6130794699474900,ENCLOSURE_ENTRY,30.00,3,Premium Enclosure,2026-05-27T13:57:05.1360574
6130794701128700,SOUVENIR,15.00,4,CentralHub,2026-05-27T13:57:05.1360574
6130794701835400,ENCLOSURE_ENTRY,75.00,4,VIP Enclosure,2026-05-27T13:57:05.1360574
6130794702667400,ENCLOSURE_ENTRY,30.00,5,Premium Enclosure,2026-05-27T13:57:05.1360574
6130794707446200,SOUVENIR,15.00,6,CentralHub,2026-05-27T13:57:05.1525115
6130794709085200,ENCLOSURE_ENTRY,75.00,6,VIP Enclosure,2026-05-27T13:57:05.1525115
6130794710041200,ENCLOSURE_ENTRY,30.00,7,Premium Enclosure,2026-05-27T13:57:05.1525115
6130794710914800,ENCLOSURE_ENTRY,75.00,8,VIP Enclosure,2026-05-27T13:57:05.1525115
6130794711699400,ENCLOSURE_ENTRY,30.00,9,Premium Enclosure,2026-05-27T13:57:05.1525115
6130794712972000,ENCLOSURE_ENTRY,10.00,10,Basic Enclosure,2026-05-27T13:57:05.1525115
11,TICKET,25.00,11,Arrival,2026-05-27T13:57:05.1690486
12,TICKET,25.00,12,Arrival,2026-05-27T13:57:05.1690486
13,TICKET,25.00,13,Arrival,2026-05-27T13:57:05.1690486
14,TICKET,25.00,14,Arrival,2026-05-27T13:57:05.1690486
15,TICKET,25.00,15,Arrival,2026-05-27T13:57:05.1690486
6130794735231000,SOUVENIR,15.00,1,CentralHub,2026-05-27T13:57:05.1690486
6130794735963400,ENCLOSURE_ENTRY,10.00,1,Basic Enclosure,2026-05-27T13:57:05.1690486
